0,1,2,3,4,5,6,7,8,9
1369.5063,1051.413,1127.9927,1344.978,1369.5867,1830.8927,839.69617,1193.9603,1215.4907,1192.7396
1392.3329,992.39215,1076.33,1435.1885,1373.3208,1861.0221,747.74664,1216.4319,1245.3608,1233.6797
1408.44,937.3529,1026.9053,1481.4854,1345.4609,1879.9279,702.8458,1213.3077,1242.6682,1239.2515
1431.7665,944.5025,1028.3033,1511.2657,1334.3469,1875.7617,747.05896,1223.4369,1247.7141,1258.5514
1444.2485,968.74567,1042.5386,1519.8513,1329.0248,1856.4337,805.91644,1227.6576,1247.7052,1271.159
1443.236,981.35406,1047.4403,1512.9302,1317.981,1832.5901,844.2119,1221.3217,1237.6979,1270.7162
1435.9026,985.30914,1046.3793,1500.1359,1303.6005,1808.8413,868.00806,1211.7587,1224.1641,1264.7701
1424.7029,985.12854,1042.3743,1484.593,1287.9962,1783.8982,883.5395,1201.022,1209.5449,1256.4581
1410.2457,982.22424,1036.186,1466.8063,1271.7776,1757.2865,892.8356,1188.8706,1193.9298,1246.1174
1393.5756,977.49536,1028.5841,1447.568,1255.6132,1729.9227,897.2747,1175.6427,1177.7396,1234.3013
1375.8397,971.77264,1020.35785,1427.8307,1240.1458,1702.89,898.18384,1162.015,1161.6271,1221.7932
1357.9243,965.6759,1012.06934,1408.3556,1225.787,1676.9476,896.6553,1148.5602,1146.1141,1209.248
1340.4172,959.5914,1004.0405,1389.6465,1212.721,1652.526,893.49274,1135.642,1131.5115,1197.0992
1323.686,953.738,996.4366,1372.013,1200.9888,1629.8372,889.27045,1123.4655,1117.9742,1185.6069
1307.9543,948.2356,989.3362,1355.634,1190.5547,1608.9626,884.40497,1112.1377,1105.564,1174.918
1293.3492,943.1452,982.7725,1340.6007,1181.3455,1589.9056,879.2017,1101.7058,1094.286,1165.106
1279.9291,938.49225,976.7516,1326.9402,1173.2687,1572.6178,873.88525,1092.1785,1084.1124,1156.1947
1267.7035,934.27893,971.26294,1314.6342,1166.2236,1557.0186,868.6189,1083.5371,1074.9923,1148.1733
1256.6472,930.4932,966.28455,1303.6309,1160.1078,1543.0066,863.5186,1075.7462,1066.8613,1141.0073
1246.7108,927.1134,961.7883,1293.8573,1154.8204,1530.4686,858.664,1068.7579,1059.6471,1134.6473
1237.8282,924.11237,957.7419,1285.2262,1150.2657,1519.2865,854.106,1062.5175,1053.2734,1129.0339
1229.9252,921.46045,954.11176,1277.6434,1146.3546,1509.3416,849.8744,1056.9669,1047.6642,1124.1042
1222.9222,919.12744,950.86395,1271.0127,1143.0055,1500.5184,845.9829,1052.0471,1042.7448,1119.7936
1216.7395,917.0828,947.9653,1265.2383,1140.1454,1492.7064,842.43274,1047.7002,1038.4442,1116.0394
1211.2979,915.2975,945.3837,1260.2284,1137.7079,1485.802,839.2164,1043.8701,1034.6954,1112.7808
1112.5585,1001.0417,1012.81067,1154.5259,1103.5406,1211.2374,925.9115,1087.0724,1097.3467,1092.0393
1119.5762,974.8128,977.79736,1175.3346,1098.996,1241.14,890.7181,1078.0176,1095.5404,1090.4445
1131.9778,977.97925,974.49744,1190.3499,1104.2399,1256.228,897.2075,1079.5178,1100.176,1096.8281
1131.0759,976.3827,970.4637,1188.9193,1100.1198,1252.8746,900.4708,1073.7329,1094.6554,1093.5267
1126.6403,973.20605,967.1962,1183.3811,1094.122,1245.4534,901.3903,1067.9417,1087.7838,1088.643
1119.9596,968.60754,963.36633,1175.6456,1086.7758,1235.7174,900.0764,1061.826,1080.1863,1082.6154
1111.6576,962.8605,958.6038,1166.4191,1078.42,1224.4388,896.8882,1055.0472,1071.975,1075.4952
1102.2926,956.2095,952.94006,1156.2228,1069.3928,1212.3712,892.1691,1047.5884,1063.2968,1067.4536
1092.6482,949.2372,946.87897,1145.8242,1060.3247,1200.3937,886.60254,1039.9379,1054.6656,1059.0984
1083.2461,942.3554,940.80347,1135.7407,1051.6366,1189.0458,880.70044,1032.4688,1046.4288,1050.8868
1074.3682,935.789,934.9325,1126.2548,1043.5415,1178.5842,874.77765,1025.3885,1038.7557,1043.0826
1066.1521,929.6501,929.3833,1117.5057,1036.1296,1169.1033,869.02264,1018.80273,1031.7144,1035.8242
1058.6581,923.9921,924.2197,1109.5532,1029.4277,1160.6134,863.5526,1012.76117,1025.3246,1029.1793
1051.8982,918.8337,919.47235,1102.4077,1023.42584,1153.0786,858.438,1007.2803,1019.5776,1023.1705
1045.8533,914.1704,915.1483,1096.0454,1018.09076,1146.4366,853.7152,1002.35144,1014.44574,1017.7888
1040.4841,909.98206,911.2379,1090.4211,1013.3754,1140.6112,849.3967,997.9499,1009.88934,1013.00507
1035.7406,906.2398,907.72144,1085.4781,1009.2263,1135.5216,845.4782,994.0407,1005.8626,1008.77783
1031.5677,902.90936,904.5733,1081.1544,1005.5875,1131.0879,841.9448,990.584,1002.3168,1005.0597
1027.9092,899.9552,901.7647,1077.3861,1002.40485,1127.234,838.77484,987.53796,999.20386,1001.80145
1024.7103,897.34186,899.26624,1074.1117,999.6264,1123.8895,835.9433,984.8613,996.4778,998.95447
1021.9196,895.03516,897.0486,1071.2736,997.20465,1120.991,833.4226,982.51434,994.0948,996.47205
1019.4892,893.00256,895.08405,1068.8182,995.0959,1118.4811,831.1856,980.4601,992.01544,994.31146
1017.3756,891.2142,893.34644,1066.6974,993.2613,1116.3092,829.2054,978.66455,990.20306,992.4336
1015.53973,889.64276,891.81165,1064.8677,991.6662,1114.4307,827.4566,977.09674,988.6251,990.8029
1013.94653,888.2636,890.45746,1063.2905,990.2797,1112.8065,825.91486,975.7292,987.2525,989.3879
978.12396,944.9353,942.18317,996.63965,972.1693,999.70984,918.4654,978.22003,982.08014,975.7024
974.98517,933.6712,923.707,999.10333,967.4508,1003.98566,901.5953,972.68695,980.8038,971.85187
979.5722,935.3683,923.1482,1005.1285,971.1018,1010.7819,902.2609,975.9525,984.7718,976.0121
977.1157,932.4327,920.3117,1002.6991,968.3711,1008.7657,899.7972,973.2852,981.4061,973.81256
974.12805,929.6307,918.60986,999.32495,965.3501,1005.70135,897.7806,970.58185,977.61163,971.24603
970.897,926.79956,917.15466,995.5993,962.18146,1002.22534,895.7268,967.8201,973.77673,968.4225
967.3583,923.7455,915.45306,991.54834,958.7637,998.402,893.34314,964.7873,969.8236,965.2197
963.55176,920.4464,913.37885,987.242,955.112,994.3321,890.589,961.45667,965.7491,961.664
959.6865,917.07416,911.0753,982.90625,951.41626,990.2502,887.64453,958.0151,961.7225,957.9744
955.94196,913.787,908.70197,978.73065,947.84314,986.34155,884.68445,954.639,957.89105,954.3496
952.4275,910.68445,906.371,974.83105,944.4952,982.71185,881.8257,951.4428,954.341,950.9175
949.1985,907.8184,904.1506,971.2651,941.4233,979.40796,879.13666,948.4887,951.11084,947.7483
946.2759,905.2105,902.0796,968.05316,938.6464,976.44135,876.653,945.804,948.2094,944.873
943.65906,902.86334,900.1763,965.1923,936.1629,973.8032,874.3893,943.3945,945.6281,942.29816
941.3346,900.7673,898.4457,962.66486,933.959,971.47284,872.34576,941.2511,943.3475,940.01373
939.2818,898.90643,896.88446,960.4455,932.01404,969.42413,870.5143,939.3572,941.3429,938.0011
937.4764,897.2611,895.4837,958.5055,930.3044,967.6288,868.8818,937.6915,939.58734,936.23663
935.8932,895.81067,894.2322,956.8148,928.80585,966.0589,867.4322,936.2314,938.05365,934.6951
934.5079,894.5349,893.1174,955.3447,927.49475,964.688,866.149,934.9546,936.71625,933.3516
933.29755,893.4143,892.1266,954.0685,926.3489,963.49194,865.01575,933.8396,935.5513,932.1826
932.241,892.4311,891.24725,952.9614,925.3484,962.449,864.01654,932.86676,934.5372,931.1661
931.3194,891.5689,890.4682,952.0017,924.47516,961.53973,863.13666,932.01843,933.65454,930.28284
930.5156,890.8132,889.77844,951.16974,923.71295,960.74695,862.3627,931.27875,932.8867,929.51526
929.8149,890.1511,889.1683,950.4485,923.0477,960.0557,861.6823,930.6337,932.2184,928.8482
929.20386,889.57117,888.6288,949.8232,922.46686,959.45294,861.08484,930.07117,931.63666,928.2681
919.9271,908.75586,909.2913,926.3788,915.2653,922.09143,898.18164,923.00555,923.19855,917.6263
916.7331,904.4078,901.0367,925.6144,912.76105,921.09894,890.74585,920.92267,923.25085,915.5192
918.0014,905.48083,901.46014,927.5784,914.62885,923.17535,890.59546,923.1904,925.46515,917.7851
917.45667,905.3241,901.5998,927.1059,914.7304,923.19977,889.97955,923.42804,925.0443,918.2043
915.73676,904.01556,900.95013,925.2174,913.5096,921.90125,888.55414,922.24536,923.1393,917.17126
914.14655,902.7234,900.3862,923.3902,912.2452,920.6258,887.29236,921.0145,921.2926,916.0057
912.6877,901.46497,899.80566,921.6848,910.9942,919.4153,886.1154,919.78687,919.58295,914.78467
911.2117,900.12506,899.05963,919.9722,909.6554,918.14526,884.8673,918.4499,917.88055,913.4234
909.7154,898.7222,898.1657,918.2574,908.2514,916.82263,883.5533,917.02875,916.1853,911.9636
908.261,897.33246,897.2073,916.6067,906.85913,915.5148,882.24524,915.6093,914.55884,910.5
906.9018,896.0181,896.2562,915.0759,905.5414,914.2783,881.00415,914.262,913.05273,909.1089
905.6654,894.81323,895.3563,913.6926,904.33295,913.1438,879.8639,913.02637,911.6925,907.8328
904.5608,893.7314,894.52893,912.46466,903.2477,912.1229,878.8381,911.91876,910.4846,906.6901
903.58594,892.7734,893.78296,911.3881,902.2867,911.21576,877.9281,910.94147,909.4245,905.6836
902.73267,891.9331,893.1183,910.45245,901.444,910.4166,877.1289,910.08856,908.50165,904.80725
901.9902,891.20123,892.53125,909.6439,900.7101,909.71643,876.4315,909.35004,907.703,904.05066
901.3463,890.5663,892.0155,908.94836,900.07355,909.1053,875.8256,908.7138,907.01447,903.40076
900.7891,890.0167,891.56366,908.35114,899.523,908.57263,875.3005,908.1673,906.42206,902.84467
900.3076,889.5422,891.1685,907.8391,899.04736,908.10913,874.84625,907.69885,905.913,902.36975
899.8915,889.13226,890.8231,907.40027,898.6368,907.7057,874.4532,907.29767,905.4759,901.96436
899.5318,888.77814,890.52136,907.02405,898.2823,907.3546,874.1133,906.9539,905.10034,901.61835
899.22076,888.47217,890.25745,906.70135,897.976,907.04895,873.8189,906.659,904.7775,901.32263
898.9515,888.2076,890.0267,906.4241,897.71106,906.7826,873.5641,906.4059,904.4998,901.06964
898.71826,887.9785,889.82446,906.18567,897.4818,906.5505,873.343,906.18823,904.2606,900.8529
898.51587,887.7799,889.6473,905.9803,897.28296,906.3479,873.15094,906.0008,904.0543,900.6667
900.7869,895.4733,898.90454,902.7928,896.7594,898.5686,889.1926,903.5727,902.6527,897.19055
897.2419,892.72504,893.7847,900.4631,894.4371,895.737,884.4277,901.78955,902.20276,894.9464
897.65564,893.76056,894.7721,901.2021,895.7608,896.4535,884.4592,903.6411,903.748,896.58905
897.85046,894.6088,895.939,901.43286,896.7798,897.18256,884.7225,904.7723,904.2524,897.86176
896.6212,893.8654,895.6457,900.105,896.157,896.4594,883.66455,904.08746,902.986,897.3646
895.5814,893.1079,895.3474,898.933,895.4975,895.8381,882.74854,903.3539,901.79944,896.7578
894.7946,892.45715,895.10724,898.0159,894.9386,895.3993,882.01624,902.72406,900.83826,896.20337
