y01,y02,y03,y04,y05,y06,y07,y08,y09,y10
710.5429,548.6655,1921.7521,562.4285,558.35223,479.95572,653.3289,718.89014,517.5945,763.3337
712.44727,551.2484,1930.0267,563.5663,560.69275,481.74728,654.7563,719.94525,519.12115,766.0723
714.0026,553.21515,1937.1428,564.49023,562.2471,483.07178,655.5998,720.6749,520.22687,768.2021
715.24585,554.6923,1943.1229,565.2173,563.2579,484.04984,656.069,721.186,521.03094,769.84186
716.22235,555.7869,1948.0621,565.7742,563.897,484.76968,656.3024,721.54877,521.6173,771.0913
716.9779,556.587,1952.0872,566.19,564.28534,485.2966,656.3913,721.8097,522.04565,772.033
717.55475,557.1633,1955.3317,566.4927,564.5073,485.67938,656.3951,721.99963,522.3588,772.7345
717.9899,557.5719,1957.9238,566.70703,564.6211,485.9547,656.3518,722.1394,522.58765,773.2503
718.3144,557.8564,1959.979,566.8539,564.6666,486.15018,656.28564,722.2432,522.7545,773.62445
718.55365,558.05023,1961.5983,566.9503,564.6706,486.28665,656.2114,722.32086,522.8758,773.8913
718.7262,558.1779,1962.8568,567.01227,564.6565,486.38272,656.1358,722.38416,522.96375,774.0701
718.84875,558.2587,1963.8289,567.04987,564.6337,486.4491,656.0641,722.43677,523.0273,774.1852
718.9346,558.3072,1964.5764,567.07007,564.6073,486.4936,655.9994,722.4801,523.07294,774.256
718.9937,558.3337,1965.1493,567.0784,564.5803,486.52203,655.943,722.51575,523.1054,774.2965
719.03156,558.3459,1965.5795,567.0777,564.5544,486.5381,655.8932,722.54254,523.1276,774.31757
719.05225,558.3491,1965.8938,567.0702,564.53015,486.54477,655.84845,722.56036,523.1416,774.32623
719.0617,558.3469,1966.1221,567.05865,564.50824,486.54523,655.80945,722.5718,523.1498,774.3269
719.0638,558.3418,1966.2872,567.0452,564.4891,486.54184,655.7761,722.5787,523.15393,774.3228
719.06146,558.33527,1966.4065,567.0312,564.4726,486.53616,655.7482,722.5824,523.1552,774.31604
719.05676,558.3284,1966.492,567.0176,564.4587,486.5294,655.72516,722.58405,523.15485,774.30817
719.051,558.32184,1966.5535,567.0048,564.44714,486.52237,655.7064,722.58435,523.1533,774.3001
719.0449,558.31586,1966.5977,566.9933,564.43774,486.51538,655.69135,722.5838,523.1512,774.2925
719.0391,558.3106,1966.6296,566.98303,564.4302,486.5089,655.6794,722.5828,523.14886,774.28564
