y01,y02,y03,y04,y05,y06,y07,y08,y09,y10
742.8907,754.5775,941.97327,2996.0667,1349.491,2622.8074,874.2509,791.09106,700.9515,1452.2188
742.8486,754.2168,941.93567,2997.3337,1350.7771,2625.0784,875.0312,790.72736,700.4774,1451.6877
742.76184,753.9218,941.97614,2998.2573,1351.6974,2627.2046,875.6244,790.3936,700.24365,1451.393
742.65845,753.6921,942.0508,2998.9417,1352.3828,2629.1753,876.0638,790.1026,700.1579,1451.2965
742.5584,753.5235,942.1346,2999.463,1352.915,2631.0017,876.3799,789.858,700.15656,1451.3535
742.4656,753.4016,942.2244,2999.855,1353.3262,2632.639,876.6099,789.6582,700.19965,1451.496
742.37286,753.3184,942.32574,3000.1577,1353.6179,2634.0498,876.7735,789.4983,700.2598,1451.6776
742.2852,753.263,942.43066,3000.3916,1353.8226,2635.2498,876.8905,789.37177,700.32385,1451.8732
742.20593,753.2269,942.53326,3000.5725,1353.9661,2636.2617,876.9753,789.27264,700.38477,1452.067
742.13654,753.2043,942.6295,3000.7124,1354.0667,2637.1096,877.0374,789.1957,700.4394,1452.25
742.0771,753.19086,942.7175,3000.8213,1354.1372,2637.8157,877.08356,789.1362,700.48627,1452.4172
742.02704,753.1836,942.79645,3000.906,1354.1869,2638.401,877.1182,789.09076,700.52545,1452.5664
741.98553,753.1804,942.866,3000.9734,1354.222,2638.8843,877.14453,789.0561,700.55756,1452.6973
741.95154,753.1798,942.9266,3001.0264,1354.247,2639.2825,877.1648,789.02985,700.58344,1452.8105
741.92395,753.18085,942.97894,3001.069,1354.265,2639.6094,877.1805,789.01,700.60394,1452.9076
741.9018,753.1828,943.0237,3001.1035,1354.278,2639.8777,877.1929,788.99524,700.62006,1452.99
741.8842,753.1852,943.06165,3001.1318,1354.2876,2640.0972,877.2025,788.98425,700.6326,1453.0593
741.87036,753.1877,943.0938,3001.1548,1354.2949,2640.2764,877.21027,788.97614,700.6423,1453.1174
741.85944,753.19025,943.1207,3001.1738,1354.3004,2640.4229,877.2163,788.9701,700.64966,1453.166
741.851,753.19257,943.1434,3001.1897,1354.3047,2640.5425,877.2212,788.96576,700.65533,1453.2063
741.8445,753.1947,943.1622,3001.203,1354.3082,2640.6396,877.22516,788.96265,700.6595,1453.2395
741.83954,753.1967,943.17786,3001.2139,1354.311,2640.7192,877.22833,788.9604,700.6627,1453.2668
741.8358,753.1984,943.1909,3001.2234,1354.3134,2640.7837,877.23083,788.95874,700.66504,1453.2894
741.83295,753.1999,943.20154,3001.231,1354.3152,2640.8364,877.2329,788.9577,700.66675,1453.3079
741.83093,753.20123,943.21045,3001.2373,1354.3169,2640.8792,877.23456,788.957,700.668,1453.323
741.8294,753.20233,943.2177,3001.243,1354.3182,2640.914,877.23584,788.9565,700.66895,1453.3352
741.82837,753.20325,943.2237,3001.2476,1354.3195,2640.9424,877.23694,788.9562,700.66956,1453.3453
741.8276,753.2041,943.22864,3001.2512,1354.3206,2640.9653,877.2378,788.956,700.67,1453.3535
741.8271,753.2048,943.23267,3001.2544,1354.3214,2640.9841,877.2385,788.95593,700.6703,1453.3601
741.8267,753.2053,943.23596,3001.257,1354.3223,2640.9995,877.239,788.9559,700.67053,1453.3655
741.82654,753.2058,943.23865,3001.2595,1354.323,2641.0117,877.23944,788.9559,700.6706,1453.3698
741.8264,753.20624,943.24084,3001.2615,1354.3235,2641.022,877.2399,788.95593,700.6707,1453.3733
741.82635,753.20654,943.2426,3001.2627,1354.3241,2641.03,877.2402,788.956,700.6707,1453.3762
741.82635,753.20685,943.2441,3001.2642,1354.3245,2641.0366,877.2404,788.956,700.6708,1453.3784
741.8264,753.20703,943.2453,3001.2651,1354.3248,2641.042,877.2406,788.95605,700.6708,1453.3804
741.8265,753.2073,943.2462,3001.2659,1354.3252,2641.0464,877.2408,788.9562,700.6707,1453.3817
741.82654,753.2074,943.247,3001.2668,1354.3254,2641.05,877.24084,788.95624,700.6707,1453.383
741.8266,753.2075,943.2477,3001.2673,1354.3258,2641.0527,877.24097,788.9563,700.6707,1453.384
741.82666,753.20764,943.24817,3001.2678,1354.3259,2641.0552,877.241,788.9563,700.67065,1453.3848
741.8267,753.2077,943.2486,3001.2683,1354.3262,2641.057,877.24115,788.95636,700.67065,1453.3854
741.82684,753.2078,943.2489,3001.2686,1354.3262,2641.0586,877.2412,788.95636,700.6706,1453.3857
741.82684,753.2078,943.2492,3001.2688,1354.3264,2641.0598,877.2412,788.9564,700.6706,1453.3862
741.8269,753.2079,943.2494,3001.269,1354.3265,2641.0608,877.24133,788.9564,700.6706,1453.3865
741.82697,753.20795,943.2496,3001.2695,1354.3267,2641.0615,877.24133,788.9565,700.6706,1453.3867
741.827,753.208,943.2498,3001.2695,1354.3267,2641.0623,877.24133,788.9565,700.6706,1453.387
741.827,753.208,943.2499,3001.2698,1354.3267,2641.0627,877.24133,788.9565,700.6706,1453.3872
741.8271,753.208,943.25,3001.2698,1354.3268,2641.0632,877.2414,788.9565,700.6706,1453.3873
741.82715,753.20807,943.25006,3001.2698,1354.3269,2641.0635,877.2414,788.95654,700.67053,1453.3875
741.82715,753.20807,943.25006,3001.27,1354.3269,2641.064,877.2414,788.95654,700.67053,1453.3875
741.82715,753.20807,943.2502,3001.27,1354.3269,2641.064,877.2414,788.95654,700.67053,1453.3875
741.8272,753.20807,943.2502,3001.27,1354.327,2641.0642,877.2414,788.95654,700.67053,1453.3876
741.8272,753.20807,943.2502,3001.27,1354.327,2641.0645,877.2414,788.95654,700.67053,1453.3876
741.8272,753.2081,943.2503,3001.27,1354.327,2641.0647,877.2414,788.95654,700.67053,1453.3876
741.8272,753.2081,943.2503,3001.27,1354.327,2641.0647,877.2414,788.95654,700.67053,1453.3877
741.8272,753.2081,943.2503,3001.27,1354.327,2641.0647,877.2414,788.95654,700.67053,1453.3877
741.8273,753.2081,943.2503,3001.27,1354.327,2641.0647,877.2414,788.95654,700.67053,1453.3877
741.8273,753.2081,943.2503,3001.27,1354.327,2641.0647,877.2414,788.95654,700.67053,1453.3877
741.8273,753.2081,943.2503,3001.27,1354.327,2641.065,877.2414,788.95654,700.67053,1453.3877
741.8273,753.2081,943.2503,3001.27,1354.327,2641.065,877.2414,788.95667,700.67053,1453.3877
741.8273,753.2081,943.2503,3001.27,1354.327,2641.065,877.2414,788.95667,700.67053,1453.3877
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.67053,1453.3877
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.67053,1453.3877
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.67053,1453.3877
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.67053,1453.3877
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.67053,1453.3877
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3877
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3877
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
741.8273,753.2081,943.25037,3001.2703,1354.327,2641.065,877.2414,788.95667,700.6705,1453.3878
