y01,y02,y03,y04,y05,y06,y07,y08,y09,y10
706.1212,551.1479,1922.9236,560.55,558.37366,478.11945,655.6469,715.99097,514.9076,762.20447
706.21277,553.4327,1938.0359,561.73956,560.3347,478.7808,657.5101,716.8885,515.8827,763.7573
706.53357,555.2394,1948.5847,562.67114,561.7181,479.31656,659.13556,718.00494,516.7651,764.9365
706.9966,556.65826,1955.8894,563.4164,562.71497,479.78207,660.556,719.20435,517.5555,765.8313
707.5255,557.776,1960.9182,564.0169,563.4457,480.19846,661.77893,720.38513,518.2525,766.52277
708.05554,558.6542,1964.3865,564.4794,563.95776,480.58154,662.7751,721.50903,518.84094,767.09625
708.57074,559.33325,1966.7218,564.83746,564.30774,480.92148,663.57697,722.5401,519.3268,767.5947
709.0503,559.85785,1968.2653,565.11334,564.54395,481.22488,664.21893,723.46313,519.729,768.0289
709.48584,560.26196,1969.2382,565.3239,564.699,481.49835,664.72815,724.27686,520.06464,768.4143
709.87726,560.5724,1969.7858,565.4823,564.7951,481.74823,665.1265,724.988,520.3476,768.7671
710.2222,560.81036,1970.0481,565.6013,564.8506,481.97537,665.437,725.6035,520.58606,769.08575
710.5213,560.99225,1970.1243,565.6905,564.87787,482.1805,665.67816,726.1326,520.78687,769.3704
710.77716,561.13074,1970.0824,565.757,564.8856,482.3644,665.8648,726.5852,520.95593,769.62256
710.9936,561.2358,1969.9697,565.8062,564.88007,482.52823,666.009,726.97064,521.0982,769.84424
711.1749,561.3148,1969.8185,565.84247,564.8657,482.67316,666.1199,727.29803,521.21796,770.0377
711.3257,561.37396,1969.6499,565.8688,564.84576,482.80057,666.2051,727.5755,521.31866,770.2056
711.45013,561.4178,1969.4781,565.8876,564.8225,482.91193,666.2703,727.8103,521.4033,770.3506
711.5523,561.4498,1969.3118,565.90076,564.7977,483.0088,666.3203,728.00867,521.47455,770.47504
711.6358,561.47296,1969.1561,565.9097,564.77246,483.09268,666.35846,728.1762,521.5343,770.5815
711.7037,561.48926,1969.0134,565.9156,564.7477,483.165,666.3876,728.3175,521.58453,770.67206
711.75745,561.50104,1968.8804,565.9205,564.7242,483.22812,666.40985,728.4377,521.626,770.7488
711.79987,561.50946,1968.7584,565.9246,564.7024,483.283,666.4269,728.54004,521.66003,770.81323
711.8333,561.51526,1968.6482,565.92816,564.68243,483.33026,666.4399,728.62683,521.6882,770.86707
711.8596,561.5193,1968.5503,565.93115,564.6643,483.37082,666.4497,728.70026,521.71136,770.9118
711.8805,561.52185,1968.4642,565.9336,564.648,483.40543,666.45715,728.7624,521.7306,770.9488
711.8969,561.5234,1968.3893,565.9356,564.63354,483.43488,666.4627,728.8147,521.7465,770.97925
711.9099,561.5242,1968.3243,565.9372,564.6207,483.4598,666.4668,728.85876,521.7597,771.0042
711.9201,561.5245,1968.2684,565.9384,564.60944,483.48087,666.46985,728.8958,521.77057,771.02466
