y01,y02,y03,y04,y05,y06,y07,y08,y09,y10
691.91,255.58,913.14,547.39,546.04,468.66,639.01,702.54,504.67,747.41
690.22,254.37,903.37,545.36,544.59,467.84,637.9,699.98,503.85,746.17
686.27,253.2,894.91,542.2,540.67,464.08,632.35,696.05,501.22,738.44
677.67,252.09,887.02,535.91,535.13,459.28,624.52,686.82,495.64,729.38
673.49,250.89,874.85,531.97,530.59,456.81,619.62,680.83,493.07,723.94
668.5,249.41,865.41,526.49,525.01,453.94,613.45,674.94,489.87,716.16
661.82,247.9,856.97,522.13,521.1,449.83,607.85,668.21,484.33,709.21
655.86,246.42,849.52,518.4,516.6,446.75,601.85,661.99,480.54,700.93
650.24,245.18,842.55,515.0,511.38,442.36,596.1,656.95,476.89,695.46
642.43,244.04,835.34,511.61,507.74,439.38,590.16,652.07,471.03,689.93
636.75,242.98,826.62,506.21,502.95,435.82,585.48,644.98,466.65,683.63
630.23,241.34,818.83,501.58,497.95,432.03,579.03,640.0,462.82,678.63
624.92,240.0,811.16,497.03,493.43,429.25,573.92,633.83,459.28,672.75
618.99,239.09,802.79,494.01,488.82,425.43,569.35,629.39,455.93,667.54
613.28,238.28,794.83,489.4,483.65,422.42,563.8,625.19,452.88,662.5
608.15,237.17,786.62,486.35,479.57,418.6,558.85,616.87,449.5,656.8
603.05,236.42,778.47,481.95,475.6,415.52,554.98,612.08,446.3,652.96
598.05,235.23,771.51,478.89,471.66,412.19,549.04,606.7,443.43,647.12
592.03,234.14,765.59,475.28,468.39,409.11,543.38,600.75,440.61,642.61
587.78,233.06,757.72,471.56,464.48,406.69,539.57,594.99,437.09,638.02
581.62,231.82,752.21,468.21,461.16,403.98,534.89,589.62,434.1,634.02
574.86,230.69,744.57,465.11,458.28,401.15,529.23,584.84,430.6,627.12
569.78,229.22,736.25,461.98,454.69,398.96,525.49,581.23,428.61,622.04
564.74,228.06,729.31,459.25,452.09,395.72,520.32,578.13,425.3,617.75
558.37,227.42,721.26,454.88,448.83,392.69,516.4,572.32,422.61,610.44
554.22,226.47,714.67,452.21,445.94,389.84,510.85,567.77,420.04,606.75
550.12,225.56,705.76,448.08,442.83,387.13,506.53,563.37,417.53,600.88
545.27,224.63,699.68,444.85,440.23,384.32,501.31,558.12,415.27,594.15
539.64,223.53,692.56,441.67,436.67,381.25,496.8,553.45,412.33,589.44
534.99,222.28,685.42,437.84,433.29,378.65,493.04,548.45,409.56,584.29
529.29,221.88,677.52,435.13,430.49,376.02,489.15,543.87,405.74,578.92
525.57,220.34,669.89,431.8,427.15,372.76,485.48,539.1,402.96,573.27
521.85,219.71,664.01,428.91,425.17,370.27,481.74,534.9,399.74,569.66
517.65,218.85,658.04,425.27,422.43,367.05,477.85,530.2,396.23,565.17
512.45,217.77,651.73,422.07,419.69,365.13,474.67,524.81,393.08,560.16
508.78,216.53,645.34,419.14,415.75,363.04,470.15,520.67,390.97,555.68
505.62,215.45,638.96,416.51,413.72,360.06,467.03,515.72,387.55,551.24
501.39,214.82,632.05,413.59,410.07,357.97,463.59,511.92,384.34,547.74
497.23,213.7,627.52,410.58,406.8,354.49,460.31,508.16,381.37,543.09
492.23,212.37,622.37,407.4,403.35,352.6,456.47,503.7,378.3,537.95
489.2,211.85,616.58,404.69,399.69,350.01,452.8,500.19,375.96,533.37
484.96,210.75,610.51,401.85,397.25,347.66,448.99,496.85,373.0,527.64
480.51,209.32,605.94,398.93,394.54,345.47,445.94,492.36,370.69,522.17
477.03,208.75,600.23,396.03,392.24,343.21,441.55,488.83,367.87,518.0
473.85,208.18,595.49,392.73,389.0,340.75,437.59,486.01,365.57,512.98
